scenario_id,detector_id,policy_id,n_seeds,A_mean,A_ci_lo,A_ci_hi,H_mean,H_ci_lo,H_ci_hi,loss_mean,loss_p90,loss_cvar,loss_cvar_ci_lo,loss_cvar_ci_hi
S0_nominal,D_oracle,P_alpha0.15,40,0.909090909090909,0.909090909090909,0.909090909090909,1.0,1.0,1.0,0.09090909090909094,0.09090909090909094,0.09090909090909094,0.09090909090909094,0.09090909090909094
S0_nominal,D_oracle,P_alpha0.30,40,0.909090909090909,0.909090909090909,0.909090909090909,1.0,1.0,1.0,0.09090909090909094,0.09090909090909094,0.09090909090909094,0.09090909090909094,0.09090909090909094
S0_nominal,D_oracle,P_alpha0.45,40,0.909090909090909,0.909090909090909,0.909090909090909,1.0,1.0,1.0,0.09090909090909094,0.09090909090909094,0.09090909090909094,0.09090909090909094,0.09090909090909094
S0_nominal,D_oracle,P_alpha0.60,40,0.909090909090909,0.909090909090909,0.909090909090909,1.0,1.0,1.0,0.09090909090909094,0.09090909090909094,0.09090909090909094,0.09090909090909094,0.09090909090909094
S0_nominal,D_oracle,P_alpha0.75,40,0.909090909090909,0.909090909090909,0.909090909090909,1.0,1.0,1.0,0.09090909090909094,0.09090909090909094,0.09090909090909094,0.09090909090909094,0.09090909090909094
S0_nominal,D_oracle,P_alpha0.90,40,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
S0_nominal,D_oracle,P_alpha1.00,40,1.0,1.0,1.0,0.9453124999999993,0.9453124999999993,0.9453124999999993,0.0656250000000008,0.0656250000000008,0.0656250000000008,0.0656250000000008,0.0656250000000008
S0_nominal,D_oracle,P_availability_first,40,1.0,1.0,1.0,0.9453124999999993,0.9453124999999993,0.9453124999999993,0.0656250000000008,0.0656250000000008,0.0656250000000008,0.0656250000000008,0.0656250000000008
S0_nominal,D_oracle,P_heat_first,40,0.909090909090909,0.909090909090909,0.909090909090909,1.0,1.0,1.0,0.09090909090909094,0.09090909090909094,0.09090909090909094,0.09090909090909094,0.09090909090909094
S0_nominal,D_oracle,P_balanced,40,0.909090909090909,0.909090909090909,0.909090909090909,1.0,1.0,1.0,0.09090909090909094,0.09090909090909094,0.09090909090909094,0.09090909090909094,0.09090909090909094
S0_nominal,D_oracle,P_no_containment,40,0.909090909090909,0.909090909090909,0.909090909090909,1.0,1.0,1.0,0.09090909090909094,0.09090909090909094,0.09090909090909094,0.09090909090909094,0.09090909090909094
S0_nominal,D_oracle,P_aggressive,40,0.909090909090909,0.909090909090909,0.909090909090909,1.0,1.0,1.0,0.09090909090909094,0.09090909090909094,0.09090909090909094,0.09090909090909094,0.09090909090909094
S0_nominal,D_oracle,P_conservative,40,0.909090909090909,0.909090909090909,0.909090909090909,1.0,1.0,1.0,0.09090909090909094,0.09090909090909094,0.09090909090909094,0.09090909090909094,0.09090909090909094
S1_grid_cap,D0_weak,P_alpha0.15,40,0.8624242424242423,0.8624242424242423,0.8624242424242423,1.0,1.0,1.0,0.1395757575757577,0.1415757575757577,0.1419757575757577,0.1415757575757577,0.1435757575757577
S1_grid_cap,D0_weak,P_alpha0.30,40,0.8624242424242423,0.8624242424242423,0.8624242424242423,1.0,1.0,1.0,0.1395757575757577,0.1415757575757577,0.1419757575757577,0.1415757575757577,0.1435757575757577
S1_grid_cap,D0_weak,P_alpha0.45,40,0.8624242424242423,0.8624242424242423,0.8624242424242423,1.0,1.0,1.0,0.1395757575757577,0.1415757575757577,0.1419757575757577,0.1415757575757577,0.1435757575757577
S1_grid_cap,D0_weak,P_alpha0.60,40,0.8624242424242423,0.8624242424242423,0.8624242424242423,1.0,1.0,1.0,0.1395757575757577,0.1415757575757577,0.1419757575757577,0.1415757575757577,0.1435757575757577
