scenario_version,policy_grid_version,detector_set_version,scenario_id,detector_id,policy_id,seed,A,H,loss,loss_p90_term,contain_frac,breach_frac,false_alerts
v1.0,v1.0,v1.0,S0_nominal,D0_weak,P_alpha0.30,20,0.9090909090909091,1.0,0.09290909090909094,,0.0,0.0,1.0
v1.0,v1.0,v1.0,S0_nominal,D0_weak,P_alpha0.30,21,0.9090909090909091,1.0,0.09690909090909094,,0.0,0.0,3.0
v1.0,v1.0,v1.0,S0_nominal,D0_weak,P_alpha0.30,22,0.9090909090909091,1.0,0.09090909090909094,,0.0,0.0,0.0
v1.0,v1.0,v1.0,S0_nominal,D0_weak,P_alpha0.30,23,0.9090909090909091,1.0,0.09290909090909094,,0.0,0.0,1.0
v1.0,v1.0,v1.0,S0_nominal,D0_weak,P_alpha0.30,24,0.9090909090909091,1.0,0.09490909090909094,,0.0,0.0,2.0
v1.0,v1.0,v1.0,S0_nominal,D0_weak,P_alpha0.30,25,0.9090909090909091,1.0,0.09290909090909094,,0.0,0.0,1.0
v1.0,v1.0,v1.0,S0_nominal,D0_weak,P_alpha0.30,26,0.9090909090909091,1.0,0.09090909090909094,,0.0,0.0,0.0
v1.0,v1.0,v1.0,S0_nominal,D0_weak,P_alpha0.30,27,0.9090909090909091,1.0,0.09090909090909094,,0.0,0.0,0.0
v1.0,v1.0,v1.0,S0_nominal,D0_weak,P_alpha0.30,28,0.9090909090909091,1.0,0.09090909090909094,,0.0,0.0,0.0
v1.0,v1.0,v1.0,S0_nominal,D0_weak,P_alpha0.30,29,0.9090909090909091,1.0,0.09490909090909094,,0.0,0.0,2.0
v1.0,v1.0,v1.0,S0_nominal,D0_weak,P_alpha0.30,30,0.9090909090909091,1.0,0.09090909090909094,,0.0,0.0,0.0
v1.0,v1.0,v1.0,S0_nominal,D0_weak,P_alpha0.30,31,0.9090909090909091,1.0,0.09490909090909094,,0.0,0.0,2.0
v1.0,v1.0,v1.0,S0_nominal,D0_weak,P_alpha0.30,32,0.9090909090909091,1.0,0.09290909090909094,,0.0,0.0,1.0
v1.0,v1.0,v1.0,S0_nominal,D0_weak,P_alpha0.30,33,0.9090909090909091,1.0,0.09490909090909094,,0.0,0.0,2.0
v1.0,v1.0,v1.0,S0_nominal,D0_weak,P_alpha0.30,34,0.9090909090909091,1.0,0.09290909090909094,,0.0,0.0,1.0
v1.0,v1.0,v1.0,S0_nominal,D0_weak,P_alpha0.30,35,0.9090909090909091,1.0,0.09290909090909094,,0.0,0.0,1.0
v1.0,v1.0,v1.0,S0_nominal,D0_weak,P_alpha0.30,36,0.9090909090909091,1.0,0.09290909090909094,,0.0,0.0,1.0
v1.0,v1.0,v1.0,S0_nominal,D0_weak,P_alpha0.30,37,0.9090909090909091,1.0,0.09490909090909094,,0.0,0.0,2.0
v1.0,v1.0,v1.0,S0_nominal,D0_weak,P_alpha0.30,38,0.9090909090909091,1.0,0.09290909090909094,,0.0,0.0,1.0
v1.0,v1.0,v1.0,S0_nominal,D0_weak,P_alpha0.30,39,0.9090909090909091,1.0,0.09090909090909094,,0.0,0.0,0.0
v1.0,v1.0,v1.0,S0_nominal,D0_weak,P_alpha0.45,0,0.9090909090909091,1.0,0.09690909090909094,,0.0,0.0,3.0
v1.0,v1.0,v1.0,S0_nominal,D0_weak,P_alpha0.45,1,0.9090909090909091,1.0,0.09290909090909094,,0.0,0.0,1.0
v1.0,v1.0,v1.0,S0_nominal,D0_weak,P_alpha0.45,2,0.9090909090909091,1.0,0.09090909090909094,,0.0,0.0,0.0
v1.0,v1.0,v1.0,S0_nominal,D0_weak,P_alpha0.45,3,0.9090909090909091,1.0,0.09090909090909094,,0.0,0.0,0.0
v1.0,v1.0,v1.0,S0_nominal,D0_weak,P_alpha0.45,4,0.9090909090909091,1.0,0.09290909090909094,,0.0,0.0,1.0
v1.0,v1.0,v1.0,S0_nominal,D0_weak,P_alpha0.45,5,0.9090909090909091,1.0,0.09290909090909094,,0.0,0.0,1.0
v1.0,v1.0,v1.0,S0_nominal,D0_weak,P_alpha0.45,6,0.9090909090909091,1.0,0.09290909090909094,,0.0,0.0,1.0
v1.0,v1.0,v1.0,S0_nominal,D0_weak,P_alpha0.45,7,0.9090909090909091,1.0,0.09290909090909094,,0.0,0.0,1.0
v1.0,v1.0,v1.0,S0_nominal,D0_weak,P_alpha0.45,8,0.9090909090909091,1.0,0.09290909090909094,,0.0,0.0,1.0
v1.0,v1.0,v1.0,S0_nominal,D0_weak,P_alpha0.45,9,0.9090909090909091,1.0,0.09090909090909094,,0.0,0.0,0.0
v1.0,v1.0,v1.0,S0_nominal,D0_weak,P_alpha0.45,10,0.9090909090909091,1.0,0.09290909090909094,,0.0,0.0,1.0
v1.0,v1.0,v1.0,S0_nominal,D0_weak,P_alpha0.45,11,0.9090909090909091,1.0,0.09290909090909094,,0.0,0.0,1.0
v1.0,v1.0,v1.0,S0_nominal,D0_weak,P_alpha0.45,12,0.9090909090909091,1.0,0.09290909090909094,,0.0,0.0,1.0
v1.0,v1.0,v1.0,S0_nominal,D0_weak,P_alpha0.45,13,0.9090909090909091,1.0,0.09290909090909094,,0.0,0.0,1.0
v1.0,v1.0,v1.0,S0_nominal,D0_weak,P_alpha0.45,14,0.9090909090909091,1.0,0.09090909090909094,,0.0,0.0,0.0
v1.0,v1.0,v1.0,S0_nominal,D0_weak,P_alpha0.45,15,0.9090909090909091,1.0,0.09490909090909094,,0.0,0.0,2.0
v1.0,v1.0,v1.0,S0_nominal,D0_weak,P_alpha0.45,16,0.9090909090909091,1.0,0.09090909090909094,,0.0,0.0,0.0
v1.0,v1.0,v1.0,S0_nominal,D0_weak,P_alpha0.45,17,0.9090909090909091,1.0,0.09490909090909094,,0.0,0.0,2.0
v1.0,v1.0,v1.0,S0_nominal,D0_weak,P_alpha0.45,18,0.9090909090909091,1.0,0.09090909090909094,,0.0,0.0,0.0
v1.0,v1.0,v1.0,S0_nominal,D0_weak,P_alpha0.45,19,0.9090909090909091,1.0,0.09490909090909094,,0.0,0.0,2.0
v1.0,v1.0,v1.0,S0_nominal,D0_weak,P_alpha0.45,20,0.9090909090909091,1.0,0.09290909090909094,,0.0,0.0,1.0
v1.0,v1.0,v1.0,S0_nominal,D0_weak,P_alpha0.45,21,0.9090909090909091,1.0,0.09690909090909094,,0.0,0.0,3.0
v1.0,v1.0,v1.0,S0_nominal,D0_weak,P_alpha0.45,22,0.9090909090909091,1.0,0.09090909090909094,,0.0,0.0,0.0
v1.0,v1.0,v1.0,S0_nominal,D0_weak,P_alpha0.45,23,0.9090909090909091,1.0,0.09290909090909094,,0.0,0.0,1.0
v1.0,v1.0,v1.0,S0_nominal,D0_weak,P_alpha0.45,24,0.9090909090909091,1.0,0.09490909090909094,,0.0,0.0,2.0
v1.0,v1.0,v1.0,S0_nominal,D0_weak,P_alpha0.45,25,0.9090909090909091,1.0,0.09290909090909094,,0.0,0.0,1.0
v1.0,v1.0,v1.0,S0_nominal,D0_weak,P_alpha0.45,26,0.9090909090909091,1.0,0.09090909090909094,,0.0,0.0,0.0
v1.0,v1.0,v1.0,S0_nominal,D0_weak,P_alpha0.45,27,0.9090909090909091,1.0,0.09090909090909094,,0.0,0.0,0.0
v1.0,v1.0,v1.0,S0_nominal,D0_weak,P_alpha0.45,28,0.9090909090909091,1.0,0.09090909090909094,,0.0,0.0,0.0
v1.0,v1.0,v1.0,S0_nominal,D0_weak,P_alpha0.45,29,0.9090909090909091,1.0,0.09490909090909094,,0.0,0.0,2.0
v1.0,v1.0,v1.0,S0_nominal,D0_weak,P_alpha0.45,30,0.9090909090909091,1.0,0.09090909090909094,,0.0,0.0,0.0
v1.0,v1.0,v1.0,S0_nominal,D0_weak,P_alpha0.45,31,0.9090909090909091,1.0,0.09490909090909094,,0.0,0.0,2.0
v1.0,v1.0,v1.0,S0_nominal,D0_weak,P_alpha0.45,32,0.9090909090909091,1.0,0.09290909090909094,,0.0,0.0,1.0
v1.0,v1.0,v1.0,S0_nominal,D0_weak,P_alpha0.45,33,0.9090909090909091,1.0,0.09490909090909094,,0.0,0.0,2.0
v1.0,v1.0,v1.0,S0_nominal,D0_weak,P_alpha0.45,34,0.9090909090909091,1.0,0.09290909090909094,,0.0,0.0,1.0
v1.0,v1.0,v1.0,S0_nominal,D0_weak,P_alpha0.45,35,0.9090909090909091,1.0,0.09290909090909094,,0.0,0.0,1.0
v1.0,v1.0,v1.0,S0_nominal,D0_weak,P_alpha0.45,36,0.9090909090909091,1.0,0.09290909090909094,,0.0,0.0,1.0
v1.0,v1.0,v1.0,S0_nominal,D0_weak,P_alpha0.45,37,0.9090909090909091,1.0,0.09490909090909094,,0.0,0.0,2.0
v1.0,v1.0,v1.0,S0_nominal,D0_weak,P_alpha0.45,38,0.9090909090909091,1.0,0.09290909090909094,,0.0,0.0,1.0
v1.0,v1.0,v1.0,S0_nominal,D0_weak,P_alpha0.45,39,0.9090909090909091,1.0,0.09090909090909094,,0.0,0.0,0.0
v1.0,v1.0,v1.0,S0_nominal,D0_weak,P_alpha0.60,0,0.9090909090909091,1.0,0.09690909090909094,,0.0,0.0,3.0
v1.0,v1.0,v1.0,S0_nominal,D0_weak,P_alpha0.60,1,0.9090909090909091,1.0,0.09290909090909094,,0.0,0.0,1.0
v1.0,v1.0,v1.0,S0_nominal,D0_weak,P_alpha0.60,2,0.9090909090909091,1.0,0.09090909090909094,,0.0,0.0,0.0
v1.0,v1.0,v1.0,S0_nominal,D0_weak,P_alpha0.60,3,0.9090909090909091,1.0,0.09090909090909094,,0.0,0.0,0.0
v1.0,v1.0,v1.0,S0_nominal,D0_weak,P_alpha0.60,4,0.9090909090909091,1.0,0.09290909090909094,,0.0,0.0,1.0
v1.0,v1.0,v1.0,S0_nominal,D0_weak,P_alpha0.60,5,0.9090909090909091,1.0,0.09290909090909094,,0.0,0.0,1.0
v1.0,v1.0,v1.0,S0_nominal,D0_weak,P_alpha0.60,6,0.9090909090909091,1.0,0.09290909090909094,,0.0,0.0,1.0
v1.0,v1.0,v1.0,S0_nominal,D0_weak,P_alpha0.60,7,0.9090909090909091,1.0,0.09290909090909094,,0.0,0.0,1.0
v1.0,v1.0,v1.0,S0_nominal,D0_weak,P_alpha0.60,8,0.9090909090909091,1.0,0.09290909090909094,,0.0,0.0,1.0
v1.0,v1.0,v1.0,S0_nominal,D0_weak,P_alpha0.60,9,0.9090909090909091,1.0,0.09090909090909094,,0.0,0.0,0.0
v1.0,v1.0,v1.0,S0_nominal,D0_weak,P_alpha0.60,10,0.9090909090909091,1.0,0.09290909090909094,,0.0,0.0,1.0
v1.0,v1.0,v1.0,S0_nominal,D0_weak,P_alpha0.60,11,0.9090909090909091,1.0,0.09290909090909094,,0.0,0.0,1.0
v1.0,v1.0,v1.0,S0_nominal,D0_weak,P_alpha0.60,12,0.9090909090909091,1.0,0.09290909090909094,,0.0,0.0,1.0
v1.0,v1.0,v1.0,S0_nominal,D0_weak,P_alpha0.60,13,0.9090909090909091,1.0,0.09290909090909094,,0.0,0.0,1.0
v1.0,v1.0,v1.0,S0_nominal,D0_weak,P_alpha0.60,14,0.9090909090909091,1.0,0.09090909090909094,,0.0,0.0,0.0
v1.0,v1.0,v1.0,S0_nominal,D0_weak,P_alpha0.60,15,0.9090909090909091,1.0,0.09490909090909094,,0.0,0.0,2.0
v1.0,v1.0,v1.0,S0_nominal,D0_weak,P_alpha0.60,16,0.9090909090909091,1.0,0.09090909090909094,,0.0,0.0,0.0
v1.0,v1.0,v1.0,S0_nominal,D0_weak,P_alpha0.60,17,0.9090909090909091,1.0,0.09490909090909094,,0.0,0.0,2.0
v1.0,v1.0,v1.0,S0_nominal,D0_weak,P_alpha0.60,18,0.9090909090909091,1.0,0.09090909090909094,,0.0,0.0,0.0
v1.0,v1.0,v1.0,S0_nominal,D0_weak,P_alpha0.60,19,0.9090909090909091,1.0,0.09490909090909094,,0.0,0.0,2.0
v1.0,v1.0,v1.0,S0_nominal,D0_weak,P_alpha0.60,20,0.9090909090909091,1.0,0.09290909090909094,,0.0,0.0,1.0
v1.0,v1.0,v1.0,S0_nominal,D0_weak,P_alpha0.60,21,0.9090909090909091,1.0,0.09690909090909094,,0.0,0.0,3.0
v1.0,v1.0,v1.0,S0_nominal,D0_weak,P_alpha0.60,22,0.9090909090909091,1.0,0.09090909090909094,,0.0,0.0,0.0
v1.0,v1.0,v1.0,S0_nominal,D0_weak,P_alpha0.60,23,0.9090909090909091,1.0,0.09290909090909094,,0.0,0.0,1.0
v1.0,v1.0,v1.0,S0_nominal,D0_weak,P_alpha0.60,24,0.9090909090909091,1.0,0.09490909090909094,,0.0,0.0,2.0
v1.0,v1.0,v1.0,S0_nominal,D0_weak,P_alpha0.60,25,0.9090909090909091,1.0,0.09290909090909094,,0.0,0.0,1.0
v1.0,v1.0,v1.0,S0_nominal,D0_weak,P_alpha0.60,26,0.9090909090909091,1.0,0.09090909090909094,,0.0,0.0,0.0
v1.0,v1.0,v1.0,S0_nominal,D0_weak,P_alpha0.60,27,0.9090909090909091,1.0,0.09090909090909094,,0.0,0.0,0.0
v1.0,v1.0,v1.0,S0_nominal,D0_weak,P_alpha0.60,28,0.9090909090909091,1.0,0.09090909090909094,,0.0,0.0,0.0
v1.0,v1.0,v1.0,S0_nominal,D0_weak,P_alpha0.60,29,0.9090909090909091,1.0,0.09490909090909094,,0.0,0.0,2.0
v1.0,v1.0,v1.0,S0_nominal,D0_weak,P_alpha0.60,30,0.9090909090909091,1.0,0.09090909090909094,,0.0,0.0,0.0
