Template,Seed,A,H,loss,breach_frac
Management/OT DoS,0,0.7457761437908498,0.9983226138972894,0.3453686639768474,0.03819444444444445
Management/OT DoS,1,0.7520826834521688,0.9982136746751792,0.34082479582650504,0.05555555555555555
Management/OT DoS,2,0.7072415329768271,0.9986805074274754,0.40364741366575796,0.07777777777777778
Management/OT DoS,3,0.7003038658645276,0.9934307130656362,0.4197320562344867,0.09861111111111111
Management/OT DoS,4,0.7743805704099821,0.9983226138972894,0.3102017373577151,0.03888888888888889
Management/OT DoS,5,0.7054545454545456,0.9952789477276546,0.4145162728278245,0.09027777777777778
Management/OT DoS,6,0.7338135955139633,0.9966763036584341,0.38774428454036025,0.1486111111111111
Management/OT DoS,7,0.7515114379084967,0.9968194610705085,0.3483468754735598,0.0763888888888889
Management/OT DoS,8,0.7237438725490196,0.9967478823644714,0.3893947797247258,0.09166666666666666
Management/OT DoS,9,0.7522385620915033,0.9983916103130601,0.3525040055328245,0.11458333333333333
Management/OT DoS,10,0.7116380718954248,0.9981794564852151,0.3972479692112059,0.06875
Management/OT DoS,11,0.7474722407902555,0.9985398325492831,0.3526480157061603,0.08680555555555555
Management/OT DoS,12,0.7689616755793226,0.9981190548695117,0.3149968474661522,0.034027777777777775
Management/OT DoS,13,0.7423137626262627,0.9940621097250225,0.36713809459259916,0.10486111111111111
Management/OT DoS,14,0.7349621212121213,0.9957084199638776,0.36775721927566996,0.0625
Management/OT DoS,15,0.7418178104575164,0.9951357903155802,0.37221368560823187,0.12222222222222222
Management/OT DoS,16,0.7558250705585264,0.9965331462463597,0.3527795983902864,0.12361111111111112
Management/OT DoS,17,0.7105419080510993,0.996604724952397,0.395685199783802,0.05138888888888889
Management/OT DoS,18,0.7157623106060605,0.9971057758946573,0.3935788138759062,0.06180555555555556
Management/OT DoS,19,0.7140529374628639,0.9972141550809251,0.39286646532891484,0.07430555555555556
Management/OT DoS,20,0.7256424539512776,0.9975352481308803,0.37353052606944376,0.052083333333333336
Management/OT DoS,21,0.7256751336898396,0.9982510351912522,0.3822777907473244,0.08263888888888889
Management/OT DoS,22,0.7412277183600712,0.9980015208473342,0.3613787899564611,0.08888888888888889
Management/OT DoS,23,0.7344806521093287,0.998537350015401,0.3673786945388568,0.07708333333333334
Management/OT DoS,24,0.7442543077837194,0.996996836672547,0.350877265987002,0.06388888888888888
Management/OT DoS,25,0.755034907902555,0.9980362990731407,0.3359326443207872,0.058333333333333334
Management/OT DoS,26,0.7344344177064764,0.9979273598510305,0.36992775047228693,0.08888888888888889
Management/OT DoS,27,0.7079032976827095,0.9954936838457662,0.409691781702371,0.08541666666666667
Management/OT DoS,28,0.7132067921865717,0.9983941926033266,0.39816462113388085,0.09027777777777778
Management/OT DoS,29,0.745666963755199,0.9978931416610664,0.363965432918188,0.1284722222222222
Management/OT DoS,30,0.7338799762329173,0.9986089287214382,0.37824069819024564,0.12569444444444444
Management/OT DoS,31,0.7367335115864528,0.996209470906138,0.36545401221507046,0.06944444444444445
Management/OT DoS,32,0.7686311645870469,0.997354730202733,0.32232093694745123,0.06666666666666667
Management/OT DoS,33,0.732541221033868,0.9987147256174395,0.37379277489187135,0.08611111111111111
Management/OT DoS,34,0.7059933897801545,0.9979647203671036,0.40651839022376574,0.08055555555555556
Management/OT DoS,35,0.750633541295306,0.9968910397765457,0.3464305443061725,0.07083333333333333
Management/OT DoS,36,0.727650958110517,0.9988236648395498,0.3824273107486899,0.09444444444444444
Management/OT DoS,37,0.7275289661319074,0.9981078777791778,0.3813388027553015,0.10138888888888889
Management/OT DoS,38,0.7161785130718954,0.9969626184825829,0.3953482891934495,0.09930555555555555
Management/OT DoS,39,0.7223093991384433,0.9984259282594086,0.37221837583915535,0.025
